date,factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15,factor_16,factor_17,factor_18,factor_19,factor_20,factor_21,factor_22,factor_23,factor_24,factor_25,factor_26,factor_27,factor_28,factor_29
2022-01-03,-0.6169632077217102,0.004945862106978893,0.24083569645881653,-0.5492486953735352,-0.48654890060424805,0.18285097181797028,0.13371706008911133,-0.5099886655807495,0.09258859604597092,-0.5337816476821899,-0.16327804327011108,0.05351247638463974,0.015888303518295288,0.09149503707885742,-0.6534113883972168,-0.6242666244506836,-0.07008872181177139,0.04190322756767273,0.2566356956958771,-0.6923089623451233,0.01850838027894497,-0.08982238173484802,0.028237733989953995,0.06271980702877045,-0.5337816476821899,-0.6242666244506836,0.09149503707885742,-0.14727263152599335,-0.6534113883972168,0.14597824215888977
2022-01-04,-0.6240978837013245,0.0034537017345428467,0.24047152698040009,-0.573887825012207,-0.4799264371395111,0.17165131866931915,0.1568746268749237,-0.6131875514984131,0.05432262271642685,-0.6432290077209473,-0.07169651240110397,0.14597858488559723,0.0034537017345428467,0.1689310371875763,-0.6154317855834961,-0.5592955350875854,0.002703629434108734,0.026277679949998856,0.22210495173931122,-0.6295961737632751,0.0643722265958786,0.08927588164806366,0.06303095817565918,0.14022603631019592,-0.6150196194648743,-0.5592954754829407,0.1689310371875763,0.0409851036965847,-0.6154317855834961,0.08763233572244644
2022-01-05,-0.5103611946105957,0.061656154692173004,0.23609456419944763,-0.6117338538169861,-0.4903830885887146,0.10760519653558731,0.12033847719430923,-0.5863327383995056,0.018371541053056717,-0.6258799433708191,0.02587433159351349,0.26011931896209717,0.04195340722799301,0.19323232769966125,-0.5745581388473511,-0.5127993226051331,0.07177881896495819,-0.02751711569726467,0.1941433846950531,-0.5658171772956848,0.09294334053993225,0.24614116549491882,0.10199037939310074,0.1018102616071701,-0.5975303649902344,-0.5127993226051331,0.19323232769966125,0.2662726044654846,-0.5745581388473511,0.09568749368190765
2022-01-06,-0.5940918326377869,0.02074446715414524,0.21425285935401917,-0.7609902620315552,-0.5337788462638855,0.13321998715400696,0.03307905048131943,-0.47146326303482056,-0.09655213356018066,-0.5858263969421387,-0.08949314057826996,0.21977916359901428,0.12710589170455933,0.06549574434757233,-0.5305492281913757,-0.633615255355835,0.06686784327030182,-0.0836363285779953,0.1435827910900116,-0.4385986328125,0.13841916620731354,0.16950157284736633,0.0028275728691369295,0.05538766458630562,-0.569454550743103,-0.6336153149604797,0.06549574434757233,0.11006071418523788,-0.5305492281913757,0.11543603241443634
2022-01-07,-0.5285555720329285,0.05608187988400459,0.2458471804857254,-0.7057912945747375,-0.48949748277664185,0.19991186261177063,0.08797423541545868,-0.4843088984489441,0.03570015728473663,-0.5575435161590576,-0.033971209079027176,0.12938480079174042,0.08559851348400116,0.12470556795597076,-0.603760302066803,-0.559803307056427,0.034905824810266495,-0.007096505258232355,0.1754688024520874,-0.5897523164749146,0.09498493373394012,0.22463984787464142,0.042687393724918365,0.11827234923839569,-0.5660246014595032,-0.559803307056427,0.12470556795597076,0.1774948388338089,-0.609864354133606,0.13811329007148743
2022-01-10,-0.07594940811395645,-0.002346344292163849,0.16841928660869598,-0.6696985960006714,-0.5525891184806824,0.22783800959587097,0.14685237407684326,-0.5432007312774658,0.012820023111999035,-0.5784296989440918,-0.003843075130134821,0.04052229970693588,0.04125756397843361,0.12502627074718475,-0.5527793765068054,-0.5760892629623413,0.026021569967269897,-0.0161747969686985,0.23970770835876465,-0.6541728973388672,0.12733222544193268,0.17809340357780457,0.07353174686431885,0.1203254908323288,-0.637738049030304,-0.5760892629623413,0.12502627074718475,0.01395068783313036,-0.56651771068573,0.06966258585453033
2022-01-11,-0.5412575006484985,0.08023715019226074,0.1257520467042923,-0.6340680122375488,-0.5541371703147888,0.3019122779369354,0.11521823704242706,-0.43948453664779663,-0.018796075135469437,-0.6505042910575867,-0.010175580158829689,0.004930710885673761,0.0002982914447784424,0.11473145335912704,-0.5494142770767212,-0.5742136240005493,0.030805420130491257,-0.04484204202890396,0.2217824012041092,-0.6269500255584717,0.1564130038022995,0.06604992598295212,0.09463880211114883,0.10157712548971176,-0.6399058103561401,-0.5742136240005493,0.11473145335912704,-0.21424143016338348,-0.5169757008552551,0.05638611316680908
2022-01-12,-0.5920446515083313,0.08995677530765533,0.08593489974737167,-0.5861929059028625,-0.5506154298782349,0.27251267433166504,0.14475497603416443,-0.45492929220199585,0.04893481731414795,-0.6136304140090942,0.014890712685883045,0.06716527789831161,-0.0036213218700140715,0.1440686732530594,-0.5742611885070801,-0.5535479784011841,0.02619815431535244,0.04486929997801781,0.22369351983070374,-0.6267195343971252,0.12519368529319763,0.05716978758573532,0.13009575009346008,0.09513745456933975,-0.6022224426269531,-0.5535479784011841,0.1440686732530594,-0.18577416241168976,-0.5449393391609192,0.08976272493600845
2022-01-13,-0.50700443983078,0.2569541037082672,0.021753061562776566,-0.39387112855911255,-0.5917247533798218,0.28481394052505493,0.16477055847644806,-0.4273034930229187,0.1667691171169281,-0.4993189871311188,0.17606443166732788,0.09656044840812683,0.090193010866642,0.13255442678928375,-0.5850251913070679,-0.5702545046806335,0.08753521740436554,0.17978572845458984,0.029945295304059982,-0.5380533933639526,0.1694762259721756,-0.07457725703716278,0.1855936497449875,0.11277439445257187,-0.5377451777458191,-0.5702544450759888,0.13255442678928375,-0.13998344540596008,-0.5184382200241089,0.1592491716146469
2022-01-14,-0.7299066781997681,0.24380001425743103,-0.10786157846450806,-0.24141474068164825,-0.6941227316856384,0.25822848081588745,0.1277126967906952,-0.43248993158340454,0.2254297286272049,-0.5348958969116211,0.3451182246208191,0.17310085892677307,0.04749210551381111,0.09045616537332535,-0.6113814115524292,-0.5897071957588196,0.04043355956673622,0.26266321539878845,-0.07364670932292938,-0.5324188470840454,0.1251509189605713,-0.12839265167713165,0.3072047829627991,-0.008911130018532276,-0.5507296323776245,-0.5897071957588196,0.09045616537332535,-0.0377609021961689,-0.5313372015953064,0.10811001062393188
