date,factor_30,factor_31,factor_32,factor_33,factor_34,factor_35,factor_36,factor_37,factor_38,factor_39,factor_40,factor_41,factor_42,factor_43,factor_44,factor_45,factor_46,factor_47,factor_48,factor_49,factor_50,factor_51,factor_52,factor_53,factor_54,factor_55,factor_56,factor_57,factor_58,factor_59,factor_60
2022-01-03,-0.6654394268989563,-0.5878382921218872,-0.12098877131938934,0.1671476662158966,-0.06266628205776215,0.10598842799663544,-0.23078668117523193,0.1818149983882904,-0.05424370616674423,0.09864307940006256,0.3427649140357971,0.10454422235488892,0.06947468221187592,0.169799342751503,-0.47598105669021606,-0.10287079960107803,-0.06826348602771759,0.2760797441005707,0.05151225998997688,0.11120064556598663,0.13227848708629608,0.09956769645214081,-0.08978258818387985,0.17288486659526825,0.051875852048397064,0.12942537665367126,0.18036486208438873,0.023904606699943542,-0.06886462867259979,-0.6040283441543579,-0.5045500993728638
2022-01-04,-0.6431280374526978,-0.696856677532196,0.03871355205774307,0.14491614699363708,-0.010828116908669472,0.1269826889038086,-0.600955605506897,0.12297053635120392,0.01825125701725483,0.13098713755607605,0.2965039610862732,0.2523782551288605,0.10793197154998779,0.1277734339237213,-0.5451260805130005,0.022592436522245407,0.04922401160001755,0.18886137008666992,-0.005987585987895727,0.08340871334075928,0.04577124863862991,0.06643490493297577,-0.026689153164625168,0.12258477509021759,0.12704530358314514,0.12709765136241913,-0.03891759365797043,0.04236840084195137,0.10064951330423355,-0.5480151176452637,-0.5280374884605408
2022-01-05,-0.6207810640335083,-0.6944748163223267,0.18918533623218536,0.2084229290485382,0.016814902424812317,0.10458971560001373,-0.5819012522697449,0.14137236773967743,0.06394501030445099,0.20865340530872345,0.16668210923671722,0.15471921861171722,0.20575222373008728,0.20997533202171326,-0.5934616327285767,0.12797458469867706,0.24853582680225372,0.035994045436382294,0.01984439231455326,0.15925045311450958,0.059383224695920944,0.15848371386528015,0.22017553448677063,0.0480426661670208,-0.053758203983306885,0.17225933074951172,0.0077230422757565975,0.15590068697929382,0.15278500318527222,-0.5648319721221924,-0.6915075778961182
2022-01-06,-0.5651605725288391,-0.6800886392593384,0.20437189936637878,0.022994061931967735,0.019099172204732895,0.1961846947669983,-0.6710346937179565,0.14948439598083496,0.07073007524013519,0.17316564917564392,0.1637870967388153,-0.010453931987285614,0.12229494005441666,0.17797605693340302,-0.5064973831176758,0.08047401905059814,0.20920686423778534,0.2655338644981384,0.1730479598045349,0.09541463851928711,0.06703566014766693,0.18743135035037994,0.2157672941684723,-0.598457932472229,0.008999550715088844,0.1945704072713852,-0.028144383803009987,0.05084971338510513,0.07500194013118744,-0.589443564414978,-0.669413149356842
2022-01-07,-0.609864354133606,-0.5637780427932739,0.20471668243408203,0.09625933319330215,0.014793729409575462,0.18144702911376953,-0.6029528379440308,0.18831515312194824,0.11939813196659088,0.18032342195510864,0.24107709527015686,0.013472464866936207,-0.042005181312561035,0.2271048128604889,0.14006170630455017,0.0700886994600296,0.2697444558143616,0.2113179862499237,0.18488281965255737,0.09910073131322861,0.15234163403511047,0.04301600158214569,0.18662554025650024,-0.5639687776565552,0.016376536339521408,0.27123716473579407,0.029157286509871483,0.15036681294441223,0.12966695427894592,-0.6242882013320923,-0.6072188019752502
2022-01-10,-0.5665176510810852,-0.5418673753738403,0.152077317237854,-0.0726940780878067,0.07961177080869675,0.07773637026548386,-0.6199371814727783,0.0347338430583477,0.08976738154888153,0.26614588499069214,0.22489866614341736,0.0851619616150856,0.13232573866844177,0.19828692078590393,0.048492513597011566,-0.008375803008675575,0.03103768825531006,0.27067092061042786,0.12418602406978607,0.07093525677919388,0.04788057133555412,0.18549053370952606,0.14468368887901306,-0.5045498013496399,0.15975216031074524,0.24149653315544128,0.1284843534231186,0.041454363614320755,0.23924311995506287,-0.6659366488456726,-0.6284438371658325
2022-01-11,-0.5169757604598999,-0.49158263206481934,0.03701651841402054,-0.15669307112693787,0.1077958345413208,0.02053171955049038,-0.6567782163619995,-0.041898615658283234,0.13308727741241455,0.34662625193595886,0.337660014629364,0.1756640523672104,-0.0241899061948061,0.2650223672389984,0.09171448647975922,-0.13328763842582703,-0.07899805158376694,0.32345420122146606,0.07560434192419052,0.20357584953308105,0.03364822268486023,0.29646962881088257,0.11067260801792145,-0.4285019040107727,0.03234647214412689,0.2705528140068054,0.13612434267997742,0.1194978579878807,0.2991470992565155,-0.6071785688400269,-0.6206010580062866
2022-01-12,-0.5449393391609192,-0.48197507858276367,0.03324999660253525,-0.000373774761101231,-0.07085482776165009,0.1019718199968338,-0.7286533117294312,0.040815193206071854,0.15225756168365479,0.2774558663368225,0.3271450400352478,0.25855645537376404,-0.06651954352855682,0.18976202607154846,0.07360390573740005,-0.0501457154750824,0.03989969566464424,0.32317373156547546,0.10324529558420181,0.1667536497116089,0.16908693313598633,0.22466425597667694,0.026413315907120705,-0.4880651533603668,-0.00924305897206068,0.20480461418628693,0.11110927909612656,0.09988275915384293,0.09747686982154846,-0.6367084383964539,-0.4351840615272522
2022-01-13,-0.5184382200241089,-0.39387112855911255,0.05127387121319771,0.0420343317091465,0.05277908965945244,0.16225968301296234,-0.590032696723938,0.0601835660636425,0.1243048757314682,0.2646191418170929,0.21559850871562958,0.2832166254520416,-0.11858509480953217,0.20155230164527893,-0.06434539705514908,0.059438206255435944,0.11749102920293808,0.3296116292476654,0.11668702214956284,0.21801742911338806,0.12484192848205566,0.20582909882068634,0.13791605830192566,-0.4237317144870758,0.11448142677545547,0.22568801045417786,-0.024850914254784584,0.08201112598180771,0.14372271299362183,-0.5734373927116394,-0.5671330690383911
2022-01-14,-0.5313371419906616,-0.297751247882843,-0.013771319761872292,-0.009656739421188831,0.0032941699028015137,0.017414769157767296,-0.6140580177307129,0.1525343358516693,0.12302765995264053,0.19191697239875793,0.09617616981267929,0.3906734883785248,0.15197840332984924,0.1713755577802658,-0.06426952034235,-0.03351866453886032,0.14599983394145966,0.24230940639972687,0.15804605185985565,0.18836966156959534,0.23667511343955994,0.2726899981498718,0.16370955109596252,-0.3926686644554138,0.14854976534843445,0.09285856783390045,0.05045966058969498,0.1904068887233734,0.04424110800027847,-0.5526360869407654,-0.5385856628417969
